"Overall Stats:"
"Hours Volunteered","Average age","Number of groups","Total number of users","Number of anonymous users"
11256,50.4,117,552,0

"Breakdown by country:"
"Country name","Total hours"
GB,6702
CA,1382
SE,1028
IT,722
BE,636

"Breakdown by city:"
"Town/city name","Total hours"
London,3806
Malmö,776
N/A,768
Montréal,569
Leeds,440

Results:
#,Hours,"Event date","Restart group",Location
1522,4.50,30/05/2020,"St Lukes Church St Albans","St Lukes Church, St Albans AL1 5QJ, UK"
1522,4.50,30/05/2020,"St Lukes Church St Albans","St Lukes Church, St Albans AL1 5QJ, UK"
1522,4.50,30/05/2020,"St Lukes Church St Albans","St Lukes Church, St Albans AL1 5QJ, UK"
1522,4.50,30/05/2020,"St Lukes Church St Albans","St Lukes Church, St Albans AL1 5QJ, UK"
1522,4.50,30/05/2020,"St Lukes Church St Albans","St Lukes Church, St Albans AL1 5QJ, UK"
1522,4.50,30/05/2020,"St Lukes Church St Albans","St Lukes Church, St Albans AL1 5QJ, UK"
1522,4.50,30/05/2020,"St Lukes Church St Albans","St Lukes Church, St Albans AL1 5QJ, UK"
1673,3.00,29/05/2020,"Avenues Restarters",
1672,3.00,28/05/2020,"Avenues Restarters",
1674,3.00,28/05/2020,"Avenues Restarters","Lancaster, UK"
1671,3.00,27/05/2020,"AB Repair Café",
1670,3.00,23/05/2020,"AB Repair Café","Fort Worth, TX, USA"
1483,3.00,23/05/2020,"Repair Café Genk","Halmstraat 9, Genk, België"
1427,4.00,17/05/2020,"Reading Repair Café","rLab Reading Hackspace, Weldale Street Reading RG1 7BX"
1427,4.00,17/05/2020,"Reading Repair Café","rLab Reading Hackspace, Weldale Street Reading RG1 7BX"
1595,3.00,16/05/2020,"Chesterfield Repair Cafe","Chesterfield Baptist Church, Chesterfield S40 4ST, UK"
1405,3.00,16/05/2020,"Restarters Tooting","Mushkill Aasaan, 222 Upper Tooting Road SW17 7EW"
1405,3.00,16/05/2020,"Restarters Tooting","Mushkill Aasaan, 222 Upper Tooting Road SW17 7EW"
1405,3.00,16/05/2020,"Restarters Tooting","Mushkill Aasaan, 222 Upper Tooting Road SW17 7EW"
1405,3.00,16/05/2020,"Restarters Tooting","Mushkill Aasaan, 222 Upper Tooting Road SW17 7EW"
1405,3.00,16/05/2020,"Restarters Tooting","Mushkill Aasaan, 222 Upper Tooting Road SW17 7EW"
1461,2.50,16/05/2020,"Repair Café Portsmouth","Buckland URC, 174 Kingston Road, Portsmouth, UK"
1627,2.00,09/05/2020,"Keynsham Repair Cafe","Keynsham Baptist Church, Keynsham High Street"
1669,1.50,09/05/2020,"Repair Cafe Malmö","Malmö, Sweden"
1669,1.50,09/05/2020,"Repair Cafe Malmö","Malmö, Sweden"
1669,1.50,09/05/2020,"Repair Cafe Malmö","Malmö, Sweden"
1669,1.50,09/05/2020,"Repair Cafe Malmö","Malmö, Sweden"
1669,1.50,09/05/2020,"Repair Cafe Malmö","Malmö, Sweden"
1669,1.50,09/05/2020,"Repair Cafe Malmö","Malmö, Sweden"
1669,1.50,09/05/2020,"Repair Cafe Malmö","Malmö, Sweden"
1669,1.50,09/05/2020,"Repair Cafe Malmö","Malmö, Sweden"
1669,1.50,09/05/2020,"Repair Cafe Malmö","Malmö, Sweden"
1669,1.50,09/05/2020,"Repair Cafe Malmö","Malmö, Sweden"
1669,1.50,09/05/2020,"Repair Cafe Malmö","Malmö, Sweden"
1669,1.50,09/05/2020,"Repair Cafe Malmö","Malmö, Sweden"
1669,1.50,09/05/2020,"Repair Cafe Malmö","Malmö, Sweden"
1669,1.50,09/05/2020,"Repair Cafe Malmö","Malmö, Sweden"
1669,1.50,09/05/2020,"Repair Cafe Malmö","Malmö, Sweden"
1449,3.00,03/05/2020,"Gents Milieufront","Sint-Niklaasstraat 54, Gent, België"
1449,3.00,03/05/2020,"Gents Milieufront","Sint-Niklaasstraat 54, Gent, België"
1663,2.00,02/05/2020,"Marlow Repair Café",Zoom
1663,2.00,02/05/2020,"Marlow Repair Café",Zoom
1469,2.00,02/05/2020,"Brighton Repair Cafe ","The Hanover Centre, 33 Southover Street, Brighton BN2 9UD"
1509,3.00,02/05/2020,"Cambridge Area Repair Cafes","Storey's Field Centre, Eddington Avenue, Cambridge, CB3 1AA"
1668,0.00,01/05/2020,"AB Repair Café",
1637,3.00,29/04/2020,"Gent Repair Cafe","Coupure Links 653, 9000 Gent, Belgium"
1444,3.00,29/04/2020,"Gents Milieufront","Coupure Links 653, 9000 Gent, België"
1444,3.00,29/04/2020,"Gents Milieufront","Coupure Links 653, 9000 Gent, België"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
1566,3.00,25/04/2020,"Restarters Kensal to Kilburn","Abbey Community Centre 222c Belsize Road, Kilburn, London, NW6 4DJ"
