Date,Venue,Group,Participants,Volunteers,"CO2 (kg)","Weight (kg)",Fixed,Repairable,Dead,"Hours Volunteered"
19/09/2021,"Repair Café Saint-Hubert",,0,1,0,0,0,0,0,12
19/09/2021,"Repair Café Bertrix",,0,2,0,0,0,0,0,15
19/09/2021,Larkhall,,0,1,0,0,0,0,0,12
19/09/2021,"Ateliers Repair Café Woluwé",,0,1,0,0,0,0,0,12
19/09/2021,"Lavender Place",,12,3,0,0,0,0,0,18
19/09/2021,"Repair Café Rhode-Saint-Genèse",,0,1,0,0,0,0,0,12
19/09/2021,"BOURSE aux VELOS NEUPRE (Rotheux)",,0,1,0,0,0,0,0,12
19/09/2021,"Repair Café Vielsalm",,0,1,0,0,0,0,0,12
19/09/2021,"Repair café spécial vélos",,0,1,0,0,0,0,0,12
18/09/2021,"Buckland United Reformed Church",,17,6,0,0,0,0,0,27
18/09/2021,"RePair Café de clavier",,0,1,0,0,0,0,0,12
18/09/2021,"Restart Party - Maker Faire Trieste",,0,1,0,0,0,0,0,12
18/09/2021,"Beeston Festival",,0,1,0,0,0,0,0,12
18/09/2021,"Repair Café La Roseraie - Uccle",,0,1,0,0,0,0,0,12
18/09/2021,"Repair Café Court-Saint-Etienne",,0,1,0,0,0,0,0,12
18/09/2021,"Restart Party: Hackney Fixers",,24,10,0,0,0,0,0,39
18/09/2021,"Repair Café de Grez-Doiceau",,0,1,0,0,0,0,0,12
18/09/2021,"Chesterfield Repair Cafe",,16,6,0,0,0,0,0,27
18/09/2021,"Repair Couture-Vélo Droixhe",,0,1,0,0,0,0,0,12
17/09/2021,"Repair’Café Comines-Warneton",,0,1,0,0,0,0,0,12
16/09/2021,"Repair café (Régie des Quartiers de Herstal)",,0,1,0,0,0,0,0,12
16/09/2021,"Repair Café See U",,0,2,0,0,0,0,0,15
15/09/2021,"Atelier Repair Café du Centre A.R.A.",,0,1,0,0,0,0,0,12
14/09/2021,"Repair Café Flawinne",,0,1,0,0,0,0,0,12
14/09/2021,"I numeri del progetto R.O.A.D.",,15,6,0,0,0,0,0,27
12/09/2021,"Repair Café et Donnerie Redu",,0,1,0,0,0,0,0,12
12/09/2021,"Repair Café Ath",,0,1,0,0,0,0,0,12
12/09/2021,"Repair Café Tournai",,0,1,0,0,0,0,0,12
12/09/2021,"Repair Café Le Roeulx",,60,10,0,0,0,0,0,39
